session_id,device_id,claimed_device_id,source_ip,gateway_id,registered_device,source_connection_count,source_diversity,battery_level,tcp_flags,connection_duration,tcp_rtt,packet_rate,inter_arrival_time,frame_length,tcp_segment_len,pairing_result,pairing_latency_ms,credential_status,mqtt_msg_type,connect_flags,clean_session,username_present,password_length,keep_alive,mqtt_version,connack_code,auth_result,auth_latency_ms,failed_auth_count,requested_topic,topic_length,operation,requested_qos,granted_qos,authorization_result,topic_scope_violation,retain_flag,message_id,duplicate_flag,payload_length,payload_hash,qos_level,message_rate,byte_rate,session_duration,trust_score,re_auth_required,gateway_decision,session_present,source_ip_change,replay_window_violation,behavior_deviation_score,s1_latency_ms,s2_latency_ms,s3_latency_ms,s4_latency_ms,s5_latency_ms,s6_latency_ms,is_anomaly,attack_type,attack_phase,severity,auth_reason,token_lifetime_s,step,step_latency_ms,step_success,token_age_s,dos_blocked_count
4499b6dc-ee19-4ac4-9db9-1b339f073f9e,3fe3e1e7-dd50-4771-9368-02ab27225ac6,3fe3e1e7-dd50-4771-9368-02ab27225ac6,10.0.1.131,216302d8,1,1,1,11.5,"SYN,ACK",114.82,19.77,7.136,140.13,112,403,1,63.68,1,CONNECT,194,1,1,64,60,5,success,1,35.83,0,iot/3fe3e1e7/telemetry,22,pub_sub,2,2,1,0,0,7718,0,2292,a117eeeb71fb18a7b5dd8d6e755f6fcebf71e7323ad82ef0134d4849005e4bf7,2,0.016,4.16,550.72,0.9,0,session_valid,1,0,0,0.1,61.02,63.68,35.83,23.1,41.82,32.77,0,normal,none,none,token_issued,300.0,,,,,
33d24791-eb35-4ca4-b03a-54e728275355,f4d5cbe8-782c-482a-9566-c4d946ea1204,f4d5cbe8-782c-482a-9566-c4d946ea1204,10.0.1.75,216302d8,1,1,1,88.5,"SYN,ACK",62.83,18.05,3.152,317.26,246,313,1,29.98,1,CONNECT,194,1,1,64,60,5,success,1,39.92,0,iot/f4d5cbe8/telemetry,22,pub_sub,0,0,1,0,0,26742,0,1339,85fa0b98999dc46bf71dcd5015067e63d602cc8c326fd13307addf6f320e59ea,0,0.02,3.87,346.2,0.9,0,session_valid,1,0,0,0.1,60.15,29.98,39.92,44.72,50.44,51.48,0,normal,none,none,token_issued,300.0,,,,,
bc4e9930-6983-4487-8f50-d1b6e0944bfb,b57ea149-f48f-43f5-9f6e-5d970dc57ca2,b57ea149-f48f-43f5-9f6e-5d970dc57ca2,10.0.1.127,216302d8,1,1,1,10.4,"SYN,ACK",97.45,14.94,5.72,174.82,134,256,1,50.47,1,CONNECT,194,1,1,64,60,5,success,1,60.01,0,iot/b57ea149/telemetry,22,pub_sub,1,1,1,0,0,44787,0,2735,8b1669725a1766e4439d3ad2312373a450293981136767cf9291096e6e1ed30f,1,0.015,4.63,590.61,0.9,0,session_valid,1,0,0,0.1,48.68,50.47,60.01,39.51,29.75,53.82,0,normal,none,none,token_issued,300.0,,,,,
9199230c-dff5-4e94-b198-5548e5c61d3f,86976e9e-a6fc-4e64-bfa0-6d1b0c122f8b,86976e9e-a6fc-4e64-bfa0-6d1b0c122f8b,10.0.1.176,216302d8,1,1,1,38.6,"SYN,ACK",125.4,19.87,6.756,148.02,67,354,1,38.27,1,CONNECT,194,1,1,64,60,5,success,1,55.61,0,iot/86976e9e/telemetry,22,pub_sub,2,2,1,0,0,56221,0,3364,fb51a795e72adb63857904e75be555d7e147f489d21cd8679234942441cd8930,2,0.074,17.69,190.15,0.9,0,session_valid,1,0,0,0.1,40.14,38.27,55.61,25.7,29.68,34.51,0,normal,none,none,token_issued,300.0,,,,,
0e1d427e-1b26-4941-b5f6-d74c2b964c46,b57ea149-f48f-43f5-9f6e-5d970dc57ca2,b57ea149-f48f-43f5-9f6e-5d970dc57ca2,10.0.1.127,216302d8,1,2,1,10.4,"SYN,ACK",160.75,20.41,3.452,289.68,162,235,1,55.74,1,CONNECT,194,1,1,64,60,5,success,1,28.04,0,iot/b57ea149/telemetry,22,pub_sub,0,0,1,0,0,3789,0,3074,a84b9fddbe3681a7c043d711bbbadfe6a9a9bc78e41c7ae933954acd0cf5d85f,0,0.02,5.65,544.43,1.0,0,session_valid,1,0,0,0.0,45.18,55.74,28.04,35.99,48.08,42.15,0,normal,none,none,token_issued,300.0,,,,,
901d097c-b593-440c-84a9-045e7fd6ef57,15c07d07-688e-4be8-adfa-c7357c060d38,15c07d07-688e-4be8-adfa-c7357c060d38,10.0.1.138,216302d8,1,1,1,93.8,"SYN,ACK",99.78,24.42,7.079,141.27,253,237,1,36.69,1,CONNECT,194,1,1,64,60,5,success,1,55.57,0,iot/15c07d07/telemetry,22,pub_sub,2,2,1,0,0,39925,0,2971,a44ea0bac91be121cc501a3ab1bc676770232148f88ae8250f77b565d152b36d,2,0.039,8.98,331.02,0.9,0,session_valid,1,0,0,0.1,36.86,36.69,55.57,51.98,37.09,57.83,0,normal,none,none,token_issued,300.0,,,,,
6ce66522-b611-4892-8ad1-898e06fb31f9,90e28515-0c33-4cef-ac76-2cdd38a5d123,90e28515-0c33-4cef-ac76-2cdd38a5d123,10.0.1.139,216302d8,1,1,1,68.6,"SYN,ACK",117.39,18.73,2.612,382.9,138,505,1,54.29,1,CONNECT,194,1,1,64,60,5,success,1,38.21,0,iot/90e28515/telemetry,22,pub_sub,1,1,1,0,0,37663,0,5071,74725b8181a3ce9f617e939848d15a259b13d76a90aa2c93fec1584e392f9a78,1,0.09,23.94,211.84,0.9,0,session_valid,1,0,0,0.1,56.69,54.29,38.21,37.66,49.79,49.05,0,normal,none,none,token_issued,300.0,,,,,
09fcd771-1525-48f1-9342-cae5c4769e71,c4d70668-5d6f-4d5e-ab12-22993af50854,c4d70668-5d6f-4d5e-ab12-22993af50854,10.0.1.109,216302d8,1,1,1,55.9,"SYN,ACK",155.48,20.52,4.708,212.4,236,490,1,45.57,1,CONNECT,194,1,1,64,60,5,success,1,39.4,0,iot/c4d70668/telemetry,22,pub_sub,2,2,1,0,0,54793,0,3754,e040598335d9a8087e70b004e7041dbe67e7452149de97f0591d0bae1187e6bb,2,0.079,17.37,216.17,0.9,0,session_valid,1,0,0,0.1,35.36,45.57,39.4,41.44,53.95,43.43,0,normal,none,none,token_issued,300.0,,,,,
c31bc11c-1aca-4ee0-818a-c2cdb4d26bfa,282ea569-2627-47bb-b57a-045376bdb5d7,282ea569-2627-47bb-b57a-045376bdb5d7,10.0.1.106,216302d8,1,1,1,10.8,"SYN,ACK",123.24,14.15,5.474,182.68,166,330,1,42.63,1,CONNECT,194,1,1,64,60,5,success,1,40.7,0,iot/282ea569/telemetry,22,pub_sub,0,0,1,0,0,17912,0,2587,b8122531f598b67e1f3bf979fcb5f4014b5188b8575cf915004c08df07884cda,0,0.027,7.88,328.1,0.9,0,session_valid,1,0,0,0.1,42.89,42.63,40.7,33.15,29.37,30.98,0,normal,none,none,token_issued,300.0,,,,,
0a907230-8b3e-4159-926d-8f1abe2427ea,6a833dee-983c-4215-94af-b22804e1f836,6a833dee-983c-4215-94af-b22804e1f836,10.0.1.181,216302d8,1,1,1,88.7,"SYN,ACK",126.32,22.47,6.042,165.51,191,510,1,45.05,1,CONNECT,194,1,1,64,60,5,success,1,44.9,0,iot/6a833dee/telemetry,22,pub_sub,0,0,1,0,0,58803,0,1414,0e99aa326b7af38eaf59f67a2f45a3294b4c5682474844ec4f9a56d8fa8911df,0,0.012,2.82,501.97,0.9,0,session_valid,1,0,0,0.1,32.32,45.05,44.9,50.24,37.09,56.68,0,normal,none,none,token_issued,300.0,,,,,
